protein_id	protein_name	species_code	species_name	current_family	CPR_score	CPR_evalue
Aga_CPR39	CPR39	Aga	Anopheles gambiae	CPR RR-1	107.0	2e-31
Dvi_CPR_Uncharacterized_68	CPR_Uncharacterized_68	Dvi	Drosophila virilis	CPR	107.0	2.1e-31
Bmo_CPR128	CPR128	Bmo	Bombyx mori	CPR RR-2	106.9	2.2e-31
Dgr_CPR_Uncharacterized_25	CPR_Uncharacterized_25	Dgr	Drosophila grimshawi	CPR	106.9	2.2e-31
Dan_CPR_Uncharacterized_103	CPR_Uncharacterized_103	Dan	Drosophila ananassae	CPR	106.9	2.2e-31
Dmo_CPR_Uncharacterized_87	CPR_Uncharacterized_87	Dmo	Drosophila mojavensis	CPR	106.9	2.2e-31
Dvi_CPR_Uncharacterized_10	CPR_Uncharacterized_10	Dvi	Drosophila virilis	CPR	106.8	2.4e-31
Cfe_Unigene16827-RR2	Unigene16827-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	106.7	2.5e-31
Bmo_CPR89	CPR89	Bmo	Bombyx mori	CPR RR-2	106.7	2.5e-31
Pxy_LCP-17	LCP-17	Pxy	Plutella xylostella	CPR RR-1	106.7	2.5e-31
Cfe_Unigene12487-RR1	Unigene12487-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	106.7	2.6e-31
Dme_Cpr65Ax1	Cpr65Ax1	Dme	Drosophila melanogaster	CPR RR-1	106.6	2.8e-31
Dme_Cpr65Ax2	Cpr65Ax2	Dme	Drosophila melanogaster	CPR RR-1	106.6	2.8e-31
Dps_CPR_Uncharacterized_85	CPR_Uncharacterized_85	Dps	Drosophila pseudoobscura	CPR	106.5	2.9e-31
Dps_CPR_Uncharacterized_86	CPR_Uncharacterized_86	Dps	Drosophila pseudoobscura	CPR	106.5	2.9e-31
Dan_CPR_Uncharacterized_83	CPR_Uncharacterized_83	Dan	Drosophila ananassae	CPR	106.5	2.9e-31
Dps_CPR_Uncharacterized_78	CPR_Uncharacterized_78	Dps	Drosophila pseudoobscura	CPR	106.5	3e-31
Aga_CPR116	CPR116	Aga	Anopheles gambiae	CPR RR-2	106.5	3e-31
Aga_CPR83	CPR83	Aga	Anopheles gambiae	CPR RR-2	106.4	3.2e-31
Dps_CPR_Uncharacterized_73	CPR_Uncharacterized_73	Dps	Drosophila pseudoobscura	CPR	106.4	3.2e-31
Bmo_CPR136	CPR136	Bmo	Bombyx mori	CPR RR-2	106.3	3.4e-31
Dps_CPR_Uncharacterized_17	CPR_Uncharacterized_17	Dps	Drosophila pseudoobscura	CPR	106.3	3.4e-31
Dvi_CPR_Uncharacterized_56	CPR_Uncharacterized_56	Dvi	Drosophila virilis	CPR	106.3	3.5e-31
Dme_CRYS	CRYS	Dme	Drosophila melanogaster	CPR RR-2	106.2	3.5e-31
Dme_Cpr62Bb	Cpr62Bb	Dme	Drosophila melanogaster	CPR RR-2	106.2	3.5e-31
Dps_CPR_Uncharacterized_80	CPR_Uncharacterized_80	Dps	Drosophila pseudoobscura	CPR	106.2	3.5e-31
Aga_CPR35	CPR35	Aga	Anopheles gambiae	CPR RR-1	106.2	3.6e-31
Foc_RR-1_9	RR-1_9	Foc	Frankliniella occidentalis	CPR RR-1	106.2	3.6e-31
Dps_CPR_Uncharacterized_35	CPR_Uncharacterized_35	Dps	Drosophila pseudoobscura	CPR	106.2	3.6e-31
Dgr_CPR_Uncharacterized_119	CPR_Uncharacterized_119	Dgr	Drosophila grimshawi	CPR	106.1	3.7e-31
Dme_Cpr66Cb	Cpr66Cb	Dme	Drosophila melanogaster	CPR RR-2	106.1	3.8e-31
Cfe_CL1911.Contig2-RR2	CL1911.Contig2-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	106.1	3.9e-31
Cfe_Unigene9627-RR2	Unigene9627-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	106.1	3.9e-31
Dmo_CPR_Uncharacterized_51	CPR_Uncharacterized_51	Dmo	Drosophila mojavensis	CPR	106.1	4e-31
Dmo_CPR_Uncharacterized_79	CPR_Uncharacterized_79	Dmo	Drosophila mojavensis	CPR	106.0	4.1e-31
Bmo_CPR127	CPR127	Bmo	Bombyx mori	CPR RR-2	106.0	4.1e-31
Aga_CPR92	CPR92	Aga	Anopheles gambiae	CPR RR-2	106.0	4.1e-31
Aga_CPR24	CPR24	Aga	Anopheles gambiae	CPR RR-1	105.9	4.5e-31
Dwi_CPR_Uncharacterized_14	CPR_Uncharacterized_14	Dwi	Drosophila willistoni	CPR	105.9	4.5e-31
Nlu_Cpr37	Cpr37	Nlu	Nilaparvata lugens	CPR	105.7	5e-31
Dwi_CPR_Uncharacterized_65	CPR_Uncharacterized_65	Dwi	Drosophila willistoni	CPR	105.7	5e-31
Dme_Ccp84Af	Ccp84Af	Dme	Drosophila melanogaster	CPR RR-2	105.6	5.3e-31
Dwi_CPR_Uncharacterized_89	CPR_Uncharacterized_89	Dwi	Drosophila willistoni	CPR	105.4	6.2e-31
Dan_CPR_Uncharacterized_82	CPR_Uncharacterized_82	Dan	Drosophila ananassae	CPR	105.4	6.2e-31
Foc_RR-2_9	RR-2_9	Foc	Frankliniella occidentalis	CPR RR-2	105.4	6.2e-31
Bmo_CPR92	CPR92	Bmo	Bombyx mori	CPR RR-2	105.3	6.7e-31
Aga_CPR120	CPR120	Aga	Anopheles gambiae	CPR RR-2	105.1	7.8e-31
Dmo_CPR_Uncharacterized_96	CPR_Uncharacterized_96	Dmo	Drosophila mojavensis	CPR	105.1	8e-31
Foc_RR-1_7	RR-1_7	Foc	Frankliniella occidentalis	CPR RR-1	105.0	8.3e-31
Cfe_Unigene14189-RR2	Unigene14189-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	105.0	8.3e-31
Dvi_CPR_Uncharacterized_109	CPR_Uncharacterized_109	Dvi	Drosophila virilis	CPR	104.9	8.9e-31
Cfe_Unigene13007-RR1	Unigene13007-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	104.9	8.9e-31
Bmo_CPR87	CPR87	Bmo	Bombyx mori	CPR RR-2	104.8	9.5e-31
Dwi_CPR_Uncharacterized_109	CPR_Uncharacterized_109	Dwi	Drosophila willistoni	CPR	104.8	9.8e-31
Mpe_CP2	CP2	Mpe	Myzus persicae	CPR RR-2	104.8	9.8e-31
Dwi_CPR_Uncharacterized_110	CPR_Uncharacterized_110	Dwi	Drosophila willistoni	CPR	104.8	1e-30
Dmo_CPR_Uncharacterized_53	CPR_Uncharacterized_53	Dmo	Drosophila mojavensis	CPR	104.7	1e-30
Dan_CPR_Uncharacterized_91	CPR_Uncharacterized_91	Dan	Drosophila ananassae	CPR	104.7	1e-30
Dwi_CPR_Uncharacterized_126	CPR_Uncharacterized_126	Dwi	Drosophila willistoni	CPR	104.7	1.1e-30
Aga_CPR40	CPR40	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30
Aga_CPR43	CPR43	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30
Aga_CPR45	CPR45	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30
Aga_CPR46	CPR46	Aga	Anopheles gambiae	CPR RR-1	104.6	1.1e-30
Dgr_CPR_Uncharacterized_9	CPR_Uncharacterized_9	Dgr	Drosophila grimshawi	CPR	104.6	1.1e-30
Aga_CPR107	CPR107	Aga	Anopheles gambiae	CPR RR-2	104.6	1.1e-30
Dmo_CPR_Uncharacterized_47	CPR_Uncharacterized_47	Dmo	Drosophila mojavensis	CPR	104.4	1.3e-30
Cfe_Unigene15413-RR2	Unigene15413-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	104.4	1.3e-30
Dme_Cpr30F	Cpr30F	Dme	Drosophila melanogaster	CPR RR-2	104.3	1.4e-30
Dgr_CPR_Uncharacterized_22	CPR_Uncharacterized_22	Dgr	Drosophila grimshawi	CPR	104.2	1.4e-30
Bmo_CPR86	CPR86	Bmo	Bombyx mori	CPR RR-2	104.2	1.4e-30
Dme_Ccp84Ac	Ccp84Ac	Dme	Drosophila melanogaster	CPR RR-2	104.2	1.5e-30
Dme_Cpr11B_iso2	Cpr11B_iso2	Dme	Drosophila melanogaster	CPR RR-1	104.2	1.5e-30
Aga_CPR81	CPR81	Aga	Anopheles gambiae	CPR RR-1	104.1	1.6e-30
Dme_Cpr11B_iso1	Cpr11B_iso1	Dme	Drosophila melanogaster	CPR RR-1	104.0	1.6e-30
Aga_CPR44	CPR44	Aga	Anopheles gambiae	CPR RR-1	104.0	1.7e-30
Dvi_CPR_Uncharacterized_84	CPR_Uncharacterized_84	Dvi	Drosophila virilis	CPR	104.0	1.7e-30
Dan_CPR_Uncharacterized_37	CPR_Uncharacterized_37	Dan	Drosophila ananassae	CPR	103.9	1.8e-30
Aga_CPR42	CPR42	Aga	Anopheles gambiae	CPR RR-1	103.9	1.8e-30
Dps_CPR_Uncharacterized_38	CPR_Uncharacterized_38	Dps	Drosophila pseudoobscura	CPR	103.9	1.8e-30
Dmo_CPR_Uncharacterized_105	CPR_Uncharacterized_105	Dmo	Drosophila mojavensis	CPR	103.9	1.8e-30
Foc_RR-2_5	RR-2_5	Foc	Frankliniella occidentalis	CPR RR-2	103.9	1.8e-30
Dmo_CPR_Uncharacterized_103	CPR_Uncharacterized_103	Dmo	Drosophila mojavensis	CPR	103.9	1.8e-30
Bmo_CPR74	CPR74	Bmo	Bombyx mori	CPR RR-2	103.7	2.1e-30
Bmo_CPR43	CPR43	Bmo	Bombyx mori	CPR RR-1	103.7	2.1e-30
Aga_CPR36	CPR36	Aga	Anopheles gambiae	CPR RR-1	103.7	2.1e-30
Dwi_CPR_Uncharacterized_24	CPR_Uncharacterized_24	Dwi	Drosophila willistoni	CPR	103.6	2.2e-30
Nlu_Cpr58	Cpr58	Nlu	Nilaparvata lugens	CPR RR-2	103.6	2.3e-30
Aga_CPR114	CPR114	Aga	Anopheles gambiae	CPR RR-2	103.5	2.4e-30
Dme_Cpr49Ah	Cpr49Ah	Dme	Drosophila melanogaster	CPR RR-1	103.4	2.5e-30
Dps_CPR_Uncharacterized_N	CPR_Uncharacterized_N	Dps	Drosophila pseudoobscura	CPR	103.4	2.6e-30
Aga_CPR118	CPR118	Aga	Anopheles gambiae	CPR RR-2	103.4	2.6e-30
Aga_CPR119	CPR119	Aga	Anopheles gambiae	CPR RR-2	103.4	2.6e-30
Dwi_CPR_Uncharacterized_56	CPR_Uncharacterized_56	Dwi	Drosophila willistoni	CPR	103.4	2.6e-30
Aga_CPR41	CPR41	Aga	Anopheles gambiae	CPR RR-1	103.4	2.7e-30
Aga_CPR158	CPR158	Aga	Anopheles gambiae	CPR	103.3	2.7e-30
Cfe_CL3377.Contig1-RR2	CL3377.Contig1-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	103.3	2.8e-30
Bmo_CPR2	CPR2	Bmo	Bombyx mori	CPR RR-1	103.3	2.9e-30
Nlu_Cpr21	Cpr21	Nlu	Nilaparvata lugens	CPR	103.2	2.9e-30
Dvi_CPR_Uncharacterized_108	CPR_Uncharacterized_108	Dvi	Drosophila virilis	CPR	103.2	3e-30
Aga_CPR121	CPR121	Aga	Anopheles gambiae	CPR RR-2	103.2	3.1e-30
Dan_CPR_Uncharacterized_8	CPR_Uncharacterized_8	Dan	Drosophila ananassae	CPR	103.1	3.3e-30
Dan_CPR_Uncharacterized_12	CPR_Uncharacterized_12	Dan	Drosophila ananassae	CPR	103.0	3.4e-30
Dmo_CPR_Uncharacterized_104	CPR_Uncharacterized_104	Dmo	Drosophila mojavensis	CPR	102.9	3.6e-30
Dme_Lcp65Af	Lcp65Af	Dme	Drosophila melanogaster	NULL	102.7	4.2e-30
Cfe_Unigene13989-RR1	Unigene13989-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	102.7	4.2e-30
Dgr_CPR_Uncharacterized_23	CPR_Uncharacterized_23	Dgr	Drosophila grimshawi	CPR	102.7	4.3e-30
Dwi_CPR_Uncharacterized_76	CPR_Uncharacterized_76	Dwi	Drosophila willistoni	CPR	102.7	4.3e-30
Aga_CPR82	CPR82	Aga	Anopheles gambiae	CPR RR-2	102.7	4.4e-30
Bmo_CPR91	CPR91	Bmo	Bombyx mori	CPR	102.6	4.4e-30
Dvi_CPR_Uncharacterized_90	CPR_Uncharacterized_90	Dvi	Drosophila virilis	CPR	102.6	4.4e-30
Bmo_CPR57	CPR57	Bmo	Bombyx mori	His-rich CPR RR-2	102.6	4.5e-30
Dgr_CPR_Uncharacterized_44	CPR_Uncharacterized_44	Dgr	Drosophila grimshawi	CPR	102.5	4.7e-30
Cfe_Unigene15453-RR1	Unigene15453-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	102.5	4.8e-30
Cfe_Unigene11854-RR1	Unigene11854-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	102.5	4.9e-30
Cfe_CL5161.Contig1-RR2	CL5161.Contig1-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	102.4	5.1e-30
Dan_CPR_Uncharacterized_65	CPR_Uncharacterized_65	Dan	Drosophila ananassae	CPR	102.3	5.4e-30
Dps_CPR_Uncharacterized_105	CPR_Uncharacterized_105	Dps	Drosophila pseudoobscura	CPR	102.1	6.3e-30
Dps_CPR_Uncharacterized_57	CPR_Uncharacterized_57	Dps	Drosophila pseudoobscura	CPR	102.1	6.5e-30
Aga_CPR115	CPR115	Aga	Anopheles gambiae	CPR RR-2	102.1	6.5e-30
Foc_RR-2_15	RR-2_15	Foc	Frankliniella occidentalis	CPR RR-2	102.1	6.5e-30
Dme_Cpr78Cc	Cpr78Cc	Dme	Drosophila melanogaster	CPR RR-1	102.0	6.8e-30
Dwi_CPR_Uncharacterized_81	CPR_Uncharacterized_81	Dwi	Drosophila willistoni	CPR	102.0	7e-30
Nlu_Cpr40	Cpr40	Nlu	Nilaparvata lugens	CPR	102.0	7.1e-30
Cfe_Unigene13485-RR2	Unigene13485-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	101.9	7.4e-30
Dps_CPR_Uncharacterized_70	CPR_Uncharacterized_70	Dps	Drosophila pseudoobscura	CPR	101.7	8.8e-30
Dme_Lcp65Ag1	Lcp65Ag1	Dme	Drosophila melanogaster	CPR RR-1	101.6	9.2e-30
Dme_Lcp65Ag2	Lcp65Ag2	Dme	Drosophila melanogaster	CPR RR-1	101.6	9.2e-30
Cfe_Unigene11343-RR1	Unigene11343-RR1	Cfe	Cryptolestes ferrugineus	CPR RR-1	101.5	9.9e-30
Dps_CPR_Uncharacterized_27	CPR_Uncharacterized_27	Dps	Drosophila pseudoobscura	CPR	101.4	1.1e-29
Dwi_CPR_Uncharacterized_90	CPR_Uncharacterized_90	Dwi	Drosophila willistoni	CPR	101.3	1.1e-29
Aga_CPR38	CPR38	Aga	Anopheles gambiae	CPR RR-1	101.3	1.1e-29
Aga_CPR32	CPR32	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29
Aga_CPR12	CPR12	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29
Aga_CPR13	CPR13	Aga	Anopheles gambiae	CPR RR-1	101.3	1.2e-29
Aga_CPR51	CPR51	Aga	Anopheles gambiae	CPR RR-1	101.1	1.3e-29
Bmo_CPR76	CPR76	Bmo	Bombyx mori	CPR RR-2	101.0	1.4e-29
Dvi_CPR_Uncharacterized_102	CPR_Uncharacterized_102	Dvi	Drosophila virilis	CPR	101.0	1.4e-29
Aga_CPR136	CPR136	Aga	Anopheles gambiae	CPR RR-1	100.9	1.5e-29
Dwi_CPR_Uncharacterized_78	CPR_Uncharacterized_78	Dwi	Drosophila willistoni	CPR	100.9	1.5e-29
Dwi_CPR_Uncharacterized_95	CPR_Uncharacterized_95	Dwi	Drosophila willistoni	CPR	100.9	1.5e-29
Cfe_Unigene14133-RR2	Unigene14133-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	100.8	1.6e-29
Aga_CPR50	CPR50	Aga	Anopheles gambiae	CPR RR-1	100.8	1.6e-29
Aga_CPR49	CPR49	Aga	Anopheles gambiae	CPR RR-1	100.8	1.6e-29
Aga_CPR55	CPR55	Aga	Anopheles gambiae	CPR RR-1	100.7	1.7e-29
Bmo_CPR9	CPR9	Bmo	Bombyx mori	CPR RR-1	100.7	1.8e-29
Dmo_CPR_Uncharacterized_21	CPR_Uncharacterized_21	Dmo	Drosophila mojavensis	CPR	100.6	1.8e-29
Dwi_CPR_Uncharacterized_68	CPR_Uncharacterized_68	Dwi	Drosophila willistoni	CPR	100.5	2e-29
Dwi_CPR_Uncharacterized_104	CPR_Uncharacterized_104	Dwi	Drosophila willistoni	CPR	100.4	2.1e-29
Dps_CPR_Uncharacterized_68	CPR_Uncharacterized_68	Dps	Drosophila pseudoobscura	CPR	100.4	2.1e-29
Dwi_CPR_Uncharacterized_32	CPR_Uncharacterized_32	Dwi	Drosophila willistoni	CPR	100.4	2.1e-29
Dvi_CPR_Uncharacterized_64	CPR_Uncharacterized_64	Dvi	Drosophila virilis	CPR	100.4	2.2e-29
Dmo_CPR_Uncharacterized_111	CPR_Uncharacterized_111	Dmo	Drosophila mojavensis	CPR	100.3	2.3e-29
Dme_Lcp65Ag3	Lcp65Ag3	Dme	Drosophila melanogaster	CPR RR-1	100.3	2.3e-29
Foc_RR-2_13	RR-2_13	Foc	Frankliniella occidentalis	CPR RR-2	100.3	2.3e-29
Aae_L009001-PA	L009001-PA	Aae	Aedes aegypti	NULL	100.3	2.3e-29
Dgr_CPR_Uncharacterized_29	CPR_Uncharacterized_29	Dgr	Drosophila grimshawi	CPR	100.3	2.4e-29
Bmo_CPR42	CPR42	Bmo	Bombyx mori	CPR RR-1	100.2	2.5e-29
Dvi_CPR_Uncharacterized_70	CPR_Uncharacterized_70	Dvi	Drosophila virilis	CPR	100.2	2.5e-29
Dwi_CPR_Uncharacterized_34	CPR_Uncharacterized_34	Dwi	Drosophila willistoni	CPR	100.2	2.5e-29
Dwi_CPR_Uncharacterized_35	CPR_Uncharacterized_35	Dwi	Drosophila willistoni	CPR	100.2	2.5e-29
Aga_CPR54	CPR54	Aga	Anopheles gambiae	CPR RR-1	100.2	2.5e-29
Dps_CPR_Uncharacterized_106	CPR_Uncharacterized_106	Dps	Drosophila pseudoobscura	CPR	100.1	2.6e-29
Nlu_Cpr63	Cpr63	Nlu	Nilaparvata lugens	CPR	100.1	2.7e-29
Aga_CPR72	CPR72	Aga	Anopheles gambiae	CPR RR-2	100.1	2.7e-29
Dvi_CPR_Uncharacterized_110	CPR_Uncharacterized_110	Dvi	Drosophila virilis	CPR	100.0	2.8e-29
Dps_CPR_Uncharacterized_55	CPR_Uncharacterized_55	Dps	Drosophila pseudoobscura	CPR	100.0	2.9e-29
Aga_CPR53	CPR53	Aga	Anopheles gambiae	CPR RR-1	100.0	2.9e-29
Bmo_CPR75	CPR75	Bmo	Bombyx mori	CPR RR-2	100.0	2.9e-29
Cpo_CPR100	CPR100	Cpo	Cydia pomonella	CPR RR-2	99.9	3e-29
Bmo_CPR158	CPR158	Bmo	Bombyx mori	CPR RR-2	99.9	3.1e-29
Dme_Cpr67Fb	Cpr67Fb	Dme	Drosophila melanogaster	CPR RR-1	99.8	3.2e-29
Dmo_CPR_Uncharacterized_72	CPR_Uncharacterized_72	Dmo	Drosophila mojavensis	CPR	99.8	3.2e-29
Bmo_CPR49	CPR49	Bmo	Bombyx mori	CPR RR-1	99.8	3.3e-29
Bmo_CPR157	CPR157	Bmo	Bombyx mori	CPR RR-2	99.7	3.4e-29
Dan_CPR_Uncharacterized_93	CPR_Uncharacterized_93	Dan	Drosophila ananassae	CPR	99.7	3.4e-29
Bmo_CPR138	CPR138	Bmo	Bombyx mori	CPR RR-2	99.7	3.5e-29
Cfe_Unigene4338-RR2	Unigene4338-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	99.7	3.5e-29
Dwi_CPR_Uncharacterized_42	CPR_Uncharacterized_42	Dwi	Drosophila willistoni	CPR	99.7	3.5e-29
Aga_CPR47	CPR47	Aga	Anopheles gambiae	CPR RR-1	99.6	3.8e-29
Dvi_CPR_Uncharacterized_34	CPR_Uncharacterized_34	Dvi	Drosophila virilis	CPR	99.6	3.8e-29
Dan_CPR_Uncharacterized_70	CPR_Uncharacterized_70	Dan	Drosophila ananassae	CPR	99.5	3.9e-29
Dmo_CPR_Uncharacterized_90	CPR_Uncharacterized_90	Dmo	Drosophila mojavensis	CPR	99.5	4.1e-29
Dwi_CPR_Uncharacterized_114	CPR_Uncharacterized_114	Dwi	Drosophila willistoni	CPR	99.4	4.4e-29
Aga_CPR101	CPR101	Aga	Anopheles gambiae	CPR RR-1	99.3	4.5e-29
Dma_A0A164MG04	A0A164MG04	Dma	Daphnia magna	NULL	99.3	4.5e-29
Dgr_CPR_Uncharacterized_109	CPR_Uncharacterized_109	Dgr	Drosophila grimshawi	CPR	99.3	4.7e-29
Dan_CPR_Uncharacterized_85	CPR_Uncharacterized_85	Dan	Drosophila ananassae	CPR	99.2	4.8e-29
Dan_CPR_Uncharacterized_86	CPR_Uncharacterized_86	Dan	Drosophila ananassae	CPR	99.2	4.8e-29
Dme_Cpr49Af	Cpr49Af	Dme	Drosophila melanogaster	CPR RR-1	99.2	4.9e-29
Cfe_CL3005.Contig2-RR2	CL3005.Contig2-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	99.2	4.9e-29
Bmo_CPR77	CPR77	Bmo	Bombyx mori	CPR RR-2	99.2	5e-29
Dwi_CPR_Uncharacterized_124	CPR_Uncharacterized_124	Dwi	Drosophila willistoni	CPR	99.2	5e-29
Dvi_CPR_Uncharacterized_104	CPR_Uncharacterized_104	Dvi	Drosophila virilis	CPR	99.1	5.2e-29
Dmo_CPR_Uncharacterized_61	CPR_Uncharacterized_61	Dmo	Drosophila mojavensis	CPR	99.0	5.5e-29
Aga_CPR34	CPR34	Aga	Anopheles gambiae	CPR RR-1	99.0	5.6e-29
Dps_CPR_Uncharacterized_46	CPR_Uncharacterized_46	Dps	Drosophila pseudoobscura	CPR	98.9	6.2e-29
Aga_CPR150	CPR150	Aga	Anopheles gambiae	CPR RR-2	98.8	6.4e-29
Bmo_CPR3	CPR3	Bmo	Bombyx mori	CPR RR-1	98.8	6.8e-29
Dwi_CPR_Uncharacterized_15	CPR_Uncharacterized_15	Dwi	Drosophila willistoni	CPR	98.7	6.9e-29
Bmo_CPR19	CPR19	Bmo	Bombyx mori	CPR RR-1	98.7	7.3e-29
Aga_CPR16	CPR16	Aga	Anopheles gambiae	CPR RR-1	98.6	7.4e-29
Bmo_CPR80	CPR80	Bmo	Bombyx mori	CPR RR-2	98.6	7.6e-29
Bmo_CPR85	CPR85	Bmo	Bombyx mori	CPR RR-2	98.5	7.9e-29
Dan_CPR_Uncharacterized_5	CPR_Uncharacterized_5	Dan	Drosophila ananassae	CPR	98.5	7.9e-29
Dme_Cpr64Ac	Cpr64Ac	Dme	Drosophila melanogaster	CPR RR-2	98.5	8.1e-29
Aga_CPR26	CPR26	Aga	Anopheles gambiae	CPR RR-1	98.5	8.4e-29
Sex_CPG316	CPG316	Sex	Spodoptera exigua	CPR RR-2	98.4	8.4e-29
Dmo_CPR_Uncharacterized_116	CPR_Uncharacterized_116	Dmo	Drosophila mojavensis	CPR	98.4	8.5e-29
Dvi_CPR_Uncharacterized_39	CPR_Uncharacterized_39	Dvi	Drosophila virilis	CPR	98.4	8.5e-29
Dan_CPR_Uncharacterized_77	CPR_Uncharacterized_77	Dan	Drosophila ananassae	CPR	98.4	8.6e-29
Dme_Cpr76Ba	Cpr76Ba	Dme	Drosophila melanogaster	CPR RR-2	98.4	8.9e-29
Dwi_CPR_Uncharacterized_27	CPR_Uncharacterized_27	Dwi	Drosophila willistoni	CPR	98.3	9.1e-29
Nlu_Cpr9	Cpr9	Nlu	Nilaparvata lugens	CPR	98.3	9.4e-29
Dgr_CPR_Uncharacterized_74	CPR_Uncharacterized_74	Dgr	Drosophila grimshawi	CPR	98.3	9.5e-29
Nlu_Cpr15	Cpr15	Nlu	Nilaparvata lugens	CPR RR-1	98.3	9.6e-29
Mse_LCP16-17	LCP16-17	Mse	Manduca sexta	CPR RR-1	98.2	9.9e-29
Nlu_Cpr68	Cpr68	Nlu	Nilaparvata lugens	CPR	98.1	1.1e-28
Dci_CP7	CP7	Dci	Diaphorina citri	CPR RR-2	98.1	1.1e-28
Bmo_CPR121	CPR121	Bmo	Bombyx mori	CPR RR-2	98.1	1.1e-28
Cfe_Unigene16782-RR2	Unigene16782-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	98.0	1.1e-28
Dgr_CPR_Uncharacterized_66	CPR_Uncharacterized_66	Dgr	Drosophila grimshawi	CPR	98.0	1.1e-28
Dps_CPR_Uncharacterized_87	CPR_Uncharacterized_87	Dps	Drosophila pseudoobscura	CPR	98.0	1.2e-28
Dvi_CPR_Uncharacterized_96	CPR_Uncharacterized_96	Dvi	Drosophila virilis	CPR	98.0	1.2e-28
Bmo_CPR44	CPR44	Bmo	Bombyx mori	CPR RR-1	97.9	1.2e-28
Dvi_CPR_Uncharacterized_111	CPR_Uncharacterized_111	Dvi	Drosophila virilis	CPR	97.7	1.4e-28
Dgr_CPR_Uncharacterized_83	CPR_Uncharacterized_83	Dgr	Drosophila grimshawi	CPR	97.7	1.4e-28
Foc_RR-2_12	RR-2_12	Foc	Frankliniella occidentalis	CPR RR-2	97.7	1.4e-28
Dwi_CPR_Uncharacterized_108	CPR_Uncharacterized_108	Dwi	Drosophila willistoni	CPR	97.7	1.4e-28
Dps_CPR_Uncharacterized_I	CPR_Uncharacterized_I	Dps	Drosophila pseudoobscura	CPR	97.7	1.5e-28
Aga_CPR37	CPR37	Aga	Anopheles gambiae	CPR RR-1	97.7	1.5e-28
Dwi_CPR_Uncharacterized_28	CPR_Uncharacterized_28	Dwi	Drosophila willistoni	CPR	97.6	1.5e-28
Bmo_CPR133	CPR133	Bmo	Bombyx mori	CPR RR-2	97.5	1.6e-28
Nlu_Cpr79	Cpr79	Nlu	Nilaparvata lugens	CPR	97.5	1.6e-28
Dps_CPR_Uncharacterized_40	CPR_Uncharacterized_40	Dps	Drosophila pseudoobscura	CPR	97.5	1.7e-28
Cfe_Unigene13687-RR2	Unigene13687-RR2	Cfe	Cryptolestes ferrugineus	CPR RR-2	97.4	1.8e-28
Dgr_CPR_Uncharacterized_41	CPR_Uncharacterized_41	Dgr	Drosophila grimshawi	CPR	97.3	1.9e-28
Bmo_CPR23	CPR23	Bmo	Bombyx mori	CPR RR-1	97.2	2e-28
Dgr_CPR_Uncharacterized_50	CPR_Uncharacterized_50	Dgr	Drosophila grimshawi	CPR	97.2	2.1e-28
Mme_CPR3	CPR3	Mme	Microplitis mediator	CPR RR-1	97.1	2.1e-28
Dan_CPR_Uncharacterized_14	CPR_Uncharacterized_14	Dan	Drosophila ananassae	CPR	97.1	2.2e-28
Aga_CPR141	CPR141	Aga	Anopheles gambiae	CPR RR-1	97.1	2.2e-28
Bmo_CPR126	CPR126	Bmo	Bombyx mori	CPR RR-2	97.1	2.2e-28
Nlu_Cpr13	Cpr13	Nlu	Nilaparvata lugens	CPR	97.0	2.3e-28
Dmo_CPR_Uncharacterized_101	CPR_Uncharacterized_101	Dmo	Drosophila mojavensis	CPR	96.8	2.6e-28
Dme_Cpr65Eb	Cpr65Eb	Dme	Drosophila melanogaster	CPR RR-1	96.8	2.7e-28
Bmo_CPR53	CPR53	Bmo	Bombyx mori	CPR RR-1	96.8	2.8e-28
Dmo_CPR_Uncharacterized_112	CPR_Uncharacterized_112	Dmo	Drosophila mojavensis	CPR	96.7	2.9e-28
Dps_CPR_Uncharacterized_3	CPR_Uncharacterized_3	Dps	Drosophila pseudoobscura	CPR	96.7	2.9e-28
