protein_id	length	glycine_percent	histidine_percent	alanine_percent	proline_percent	tyrosine_percent	valine_percent	lysine_percent	GGX_count	GGXGG_count	GGYGG_count	GGG_or_more_count	GY_or_YG_count	GH_or_HG_count	AAP_count	AAPA_or_AAPV_count	AP_or_PA_count	PV_or_PY_count	H_cluster_3_in_20_count	CPG_feature_score	CPG_feature_class	CPH_feature_score	CPH_feature_class	weird_characters
Cfe_CL1548.Contig1-Tweedle	225	24.0	3.1	8.9	13.3	5.8	5.8	5.3	17	8	0	12	4	2	1	0	12	4	1	5	strong_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CL1789.Contig1-RR2	190	4.7	2.6	25.3	10.5	4.2	13.2	4.7	0	0	0	0	1	0	8	3	11	5	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_CL1797.Contig1-RR1	272	3.7	2.6	5.1	4.0	4.8	6.2	7.7	0	0	0	0	1	0	0	0	0	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CL1797.Contig2-RR1	233	3.9	2.6	5.6	3.0	5.2	5.2	8.6	0	0	0	0	1	0	0	0	0	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CL1797.Contig3-RR1	279	5.7	2.2	5.7	6.8	4.3	3.9	6.5	1	0	0	1	1	0	0	0	0	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CL1911.Contig2-RR2	172	9.9	5.2	22.1	8.7	8.1	11.0	4.7	1	0	0	0	4	4	4	2	12	1	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_CL1950.Contig1-CPRNC	183	6.6	1.6	3.8	7.7	9.3	4.4	4.9	1	0	0	0	1	0	0	0	1	1	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CL2407.Contig1-RR1	207	7.2	1.9	5.3	17.4	9.7	2.4	3.9	0	0	0	0	1	2	0	0	1	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL2972.Contig2-CPRNC	387	7.0	1.0	5.4	11.1	10.1	5.2	3.1	1	0	0	0	6	0	0	0	7	7	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CL3005.Contig2-RR2	173	23.1	6.9	9.8	2.3	2.9	11.0	5.8	8	2	0	4	1	7	0	0	1	1	1	4	moderate_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CL3377.Contig1-RR2	138	5.8	13.0	12.3	8.0	6.5	13.0	1.4	0	0	0	0	0	1	1	1	4	6	2	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_CL3437.Contig1-CPLCP	498	19.5	3.0	4.8	7.0	2.8	13.3	4.4	19	0	0	2	6	4	0	0	0	24	2	4	moderate_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL3825.Contig1-Tweedle	297	32.7	1.0	7.1	8.1	3.4	4.4	3.4	27	11	0	23	2	0	1	0	8	1	0	5	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL4305.Contig1-CPLCP	312	22.4	1.9	6.1	10.3	3.2	13.8	1.3	15	1	0	5	9	2	0	0	0	18	0	5	strong_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CL4537.Contig1-RR1	250	3.6	4.0	14.8	7.6	5.2	4.4	1.6	0	0	0	0	2	2	1	0	8	1	1	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CL4553.Contig2-RR2	183	18.0	0.5	5.5	11.5	9.8	4.9	3.8	7	1	0	3	9	1	0	0	4	1	0	5	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL4803.Contig1-CPLCP	614	16.4	2.6	2.9	5.9	2.3	10.7	5.7	15	1	0	1	5	0	0	0	1	22	1	5	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL5048.Contig2-CPCFC	196	14.8	4.6	13.8	12.2	2.6	5.6	0.5	4	0	0	0	1	4	0	0	11	0	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CL5060.Contig1-RR2	140	8.6	6.4	7.1	4.3	8.6	11.4	4.3	1	0	0	0	1	2	0	0	0	3	1	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CL5122.Contig1-CPRNC	1067	3.0	2.2	3.9	10.6	5.3	10.4	7.6	1	0	0	0	10	0	1	0	7	44	0	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Cfe_CL5161.Contig1-RR2	131	8.4	8.4	9.9	6.1	6.9	9.9	6.1	0	0	0	0	2	3	0	0	1	3	1	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CL5195.Contig1-RR2	168	10.7	7.7	2.4	5.4	7.1	8.3	4.2	2	0	0	0	5	3	0	0	0	1	2	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CL971.Contig1-RR2	123	12.2	17.9	8.1	2.4	4.9	7.3	6.5	3	0	0	0	3	5	0	0	2	0	5	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CPAP1-A	164	6.1	4.9	6.1	7.9	6.7	6.1	5.5	1	0	0	0	2	0	0	0	3	2	1	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP1-B	225	6.2	2.2	4.9	9.8	4.9	6.2	3.6	0	0	0	0	3	1	0	0	5	3	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CPAP1-B2	697	4.2	3.2	4.9	11.0	4.4	4.9	7.5	3	0	0	1	0	1	0	0	6	5	1	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CPAP1-C	634	4.1	0.9	4.1	10.1	3.6	5.7	6.9	0	0	0	0	3	1	0	0	6	7	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CPAP1-D	90	6.7	6.7	4.4	8.9	7.8	4.4	2.2	0	0	0	0	2	0	0	0	1	2	1	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP1-F	127	6.3	1.6	3.1	8.7	7.9	5.5	0.8	0	0	0	0	3	0	0	0	0	1	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP1-G	320	3.4	3.8	3.1	8.4	7.2	5.6	3.8	1	0	0	0	1	0	0	0	0	3	1	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CPAP1-H	884	3.5	1.7	4.8	10.2	5.8	4.4	7.6	3	0	0	0	2	0	2	0	9	10	1	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_CPAP1-I	507	3.7	1.6	4.1	5.3	5.9	4.3	5.9	1	0	0	0	2	0	0	0	2	3	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP1-J	1090	5.5	1.7	4.1	5.3	3.4	5.2	6.3	4	0	0	1	3	2	0	0	4	6	1	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CPAP1-K	433	4.4	0.9	8.3	7.2	2.3	5.5	7.4	2	0	0	0	1	0	1	0	5	5	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CPAP1-M	1795	2.7	3.3	3.0	5.2	3.8	3.8	8.0	3	0	0	0	6	3	0	0	5	8	4	1	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_CPAP1-N	170	2.9	1.2	5.3	7.6	3.5	5.3	1.8	0	0	0	0	1	0	0	0	2	1	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CPAP3-A1	241	8.3	2.1	3.7	8.7	3.7	7.5	7.5	0	0	0	0	1	0	0	0	2	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP3-B	304	4.6	2.6	6.9	6.9	3.9	4.9	8.6	0	0	0	0	2	1	0	0	0	0	1	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CPAP3-C1	235	8.1	2.6	6.4	5.5	5.5	5.5	6.0	0	0	0	0	4	0	0	0	0	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CPAP3-C2	271	7.7	2.2	7.4	7.0	4.4	4.4	5.2	0	0	0	0	4	0	0	0	3	0	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP3-D1	233	8.6	6.9	8.6	7.7	2.6	6.0	3.9	0	0	0	0	0	5	0	0	1	0	2	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_CPAP3-D2	264	8.3	1.5	3.4	10.2	4.2	4.2	4.2	2	0	0	0	2	1	0	0	2	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_CPAP3-E	279	8.6	0.7	5.4	7.9	6.5	5.0	2.2	1	0	0	0	3	1	0	0	3	0	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene10128-CPLCA	85	2.4	9.4	18.8	9.4	1.2	16.5	1.2	0	0	0	0	0	2	2	0	5	0	2	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Cfe_Unigene10568-RR1	168	7.1	1.8	13.7	9.5	6.5	7.7	2.4	1	0	0	0	2	0	0	0	2	2	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene10589-RR2	128	18.8	10.2	5.5	2.3	9.4	7.0	6.2	5	1	0	3	1	5	0	0	1	0	2	4	moderate_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene10612-RR2	134	18.7	13.4	6.7	3.0	6.7	5.2	6.7	5	1	0	0	5	6	0	0	2	0	5	4	moderate_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene10719-RR1	114	10.5	1.8	7.0	2.6	7.0	9.6	3.5	0	0	0	0	0	0	0	0	1	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene10721-CPFL	103	6.8	4.9	27.2	8.7	6.8	17.5	3.9	1	0	0	0	3	2	4	3	5	4	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene11343-RR1	106	10.4	0.9	12.3	4.7	4.7	7.5	2.8	0	0	0	0	2	0	1	0	2	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene11498-RR1	237	14.8	0.4	16.5	6.8	5.5	0.8	3.0	6	1	0	0	4	0	1	0	6	0	0	3	moderate_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene11532-RR1	129	10.9	0.8	6.2	1.6	5.4	7.0	6.2	2	0	0	1	2	0	0	0	0	0	0	1	weak_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene11823-RR2	199	5.5	5.0	21.1	10.6	9.0	14.1	2.5	0	0	0	0	4	0	4	4	15	10	1	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene11854-RR1	166	10.2	3.0	12.7	8.4	4.2	13.9	3.0	2	1	1	0	2	0	0	0	5	3	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_Unigene11944-RR1	202	29.7	1.5	6.4	7.9	5.0	1.5	1.5	15	6	0	9	2	1	0	0	1	1	0	5	strong_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene11999-RR1	131	5.3	0.8	13.7	7.6	3.8	8.4	1.5	0	0	0	0	1	0	0	0	1	2	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene12042-RR2	183	4.4	4.4	27.3	9.3	8.7	13.1	5.5	0	0	0	0	1	1	9	8	11	8	2	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene12487-RR1	160	6.9	0.6	6.9	10.0	8.1	5.6	2.5	0	0	0	0	0	0	0	0	2	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene12686-RR1	137	7.3	1.5	14.6	9.5	2.9	6.6	2.9	0	0	0	0	0	0	0	0	3	2	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene13007-RR1	147	12.2	2.0	11.6	8.8	4.8	2.0	2.7	3	1	0	1	0	0	0	0	3	1	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13195-RR2	133	9.8	11.3	9.0	1.5	6.8	8.3	4.5	0	0	0	0	1	2	0	0	0	0	3	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene13228-RR2	145	13.8	8.3	13.8	4.1	8.3	14.5	4.1	2	0	0	0	6	5	3	3	3	3	2	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_Unigene13301-RR1	174	6.3	3.4	5.7	6.3	5.7	4.6	6.3	0	0	0	0	3	1	0	0	2	3	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene13309-RR1	139	8.6	1.4	12.9	9.4	3.6	5.0	4.3	1	0	0	1	0	0	0	0	1	0	0	1	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13345-RR1	220	10.9	2.3	7.7	12.7	7.3	3.2	4.1	2	0	0	0	4	0	0	0	8	2	0	1	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13377-RR2	191	23.0	12.0	5.2	2.1	4.7	4.7	7.3	12	5	0	3	2	7	0	0	0	1	6	4	moderate_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene13485-RR2	176	19.9	8.0	13.1	3.4	2.8	11.4	5.1	9	4	0	1	1	7	0	0	3	2	0	4	moderate_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13547-RR1	197	8.1	0.5	15.2	5.6	5.6	4.1	1.5	1	0	0	0	1	0	0	0	5	1	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13687-RR2	221	5.9	7.7	29.9	7.2	9.0	12.2	2.3	1	0	0	0	2	2	11	10	14	6	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_Unigene13921-CPRNC	521	13.8	1.9	7.3	6.1	5.4	4.4	4.0	4	0	0	1	9	2	0	0	5	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene13963-CPFL	172	1.7	3.5	24.4	10.5	5.2	21.5	4.1	0	0	0	0	1	0	6	4	12	6	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene13989-RR1	242	32.2	0.4	8.7	9.1	4.5	2.5	3.3	20	9	0	8	4	0	0	0	2	0	0	6	strong_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene14052-CPRNC	649	11.4	2.0	3.2	9.9	4.5	4.2	5.2	10	0	0	1	3	2	0	0	3	3	0	3	moderate_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene14114-RR1	151	8.6	1.3	11.3	9.9	4.6	3.3	2.0	2	0	0	1	1	0	0	0	4	1	0	1	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene14133-RR2	171	7.6	2.9	7.6	7.6	5.3	7.0	1.8	1	0	0	0	2	1	0	0	1	1	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene14141-CPRNC	333	7.5	1.2	8.1	14.4	6.6	5.1	3.9	2	0	0	1	5	0	2	0	15	4	0	2	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene14189-RR2	241	2.5	0.0	27.0	9.1	3.3	14.9	2.9	0	0	0	0	0	0	10	8	16	9	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene14194-RR1	106	7.5	3.8	15.1	3.8	3.8	8.5	5.7	0	0	0	0	1	0	1	0	1	2	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene14282-RR2	239	5.0	0.8	19.2	10.9	4.2	8.8	2.5	0	0	0	0	3	0	5	3	15	3	0	1	weak_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene14429-RR2	253	5.5	3.2	4.7	11.1	4.7	4.0	4.3	1	0	0	0	3	0	0	0	0	1	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene14620-RR2	357	3.6	1.1	9.0	9.0	6.2	7.0	4.8	0	0	0	0	2	0	1	0	4	5	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene14668-CPRNC	180	4.4	4.4	14.4	7.8	5.6	5.0	7.2	0	0	0	0	1	1	0	0	1	2	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene14806-CPLCP	393	12.2	5.3	2.5	15.0	7.1	19.6	12.2	16	6	2	9	4	6	0	0	0	49	2	4	moderate_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene15011-CPFL	106	16.0	6.6	16.0	6.6	10.4	8.5	2.8	3	1	1	0	7	4	2	0	6	1	0	3	moderate_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene15156-CPLCP	444	15.5	9.0	1.6	14.9	5.4	17.1	10.8	25	7	0	11	3	14	0	0	1	58	3	5	strong_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene15232-RR1	140	7.1	1.4	7.1	11.4	2.9	2.1	5.0	1	0	0	0	0	0	0	0	1	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene15413-RR2	172	25.6	4.7	7.6	2.3	3.5	10.5	7.0	11	4	0	7	1	5	0	0	1	0	0	5	strong_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene15448-CPRNC	111	10.8	0.0	2.7	9.0	7.2	6.3	2.7	0	0	0	0	2	0	0	0	3	1	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene15453-RR1	228	7.9	0.9	7.5	4.8	7.9	3.9	0.9	1	0	0	0	0	0	0	0	2	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene15571-RR2	360	7.8	1.1	3.1	33.6	8.1	3.3	2.8	2	0	0	1	12	0	0	0	2	4	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene15617-RR1	210	6.2	1.9	6.2	10.0	5.2	3.3	4.3	0	0	0	0	0	0	0	0	1	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene15710-RR2	176	6.2	0.6	19.3	13.6	2.8	19.3	2.8	0	0	0	0	0	0	5	1	14	8	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene15742-RR1	155	9.7	1.3	9.0	11.0	3.9	5.8	3.9	1	0	0	0	0	0	0	0	1	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene15996-RR2	172	9.9	5.2	6.4	10.5	9.3	12.8	8.7	1	0	0	0	5	1	0	0	4	5	0	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Cfe_Unigene16129-Tweedle	325	26.8	4.3	4.6	8.9	3.1	4.3	3.1	29	5	0	11	3	9	2	0	7	2	1	6	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene16334-RR2	159	19.5	1.9	8.8	2.5	3.1	10.1	7.5	6	1	0	1	1	0	0	0	1	1	0	4	moderate_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene16424-RR2	429	4.7	4.2	6.1	8.9	5.4	8.9	7.2	1	0	0	0	3	4	0	0	7	8	1	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Cfe_Unigene1649-RR2	160	5.0	1.2	26.2	9.4	6.2	11.9	5.0	0	0	0	0	2	1	8	4	10	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene16757-RR1	223	7.6	3.1	4.0	6.7	6.7	4.9	6.3	0	0	0	0	2	0	0	0	0	3	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene16782-RR2	356	4.8	5.6	16.0	7.3	5.6	9.8	2.5	2	0	0	0	4	3	2	1	3	5	2	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_Unigene16827-RR2	173	23.7	11.6	10.4	2.3	9.2	7.5	4.0	11	4	3	3	6	8	0	0	0	1	3	5	strong_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene16986-RR2	193	5.7	11.9	13.5	3.6	6.2	6.7	4.1	1	0	0	0	2	1	0	0	3	0	2	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene17163-CPRNC	739	3.0	1.2	5.3	9.3	4.5	7.8	4.2	1	0	0	0	5	0	2	0	7	13	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene17315-CPCFC	199	7.0	3.5	19.6	14.1	9.0	7.5	0.5	1	0	0	0	1	2	2	1	11	6	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Cfe_Unigene17528-RR2	192	8.3	5.7	19.3	7.3	8.3	10.9	2.6	1	0	0	0	4	4	2	0	7	3	1	1	weak_CPG_feature_support	5	strong_CPH_feature_support	
Cfe_Unigene18018-RR2	234	11.1	2.6	6.4	4.7	12.8	3.0	2.6	4	0	0	0	13	1	1	0	3	0	1	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene18090-RR2	403	4.0	4.7	5.2	5.5	6.2	6.7	8.9	0	0	0	0	2	3	0	0	1	3	1	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene18240-RR2	623	2.7	4.3	8.7	5.3	3.2	6.1	9.3	0	0	0	0	3	3	1	0	4	2	1	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene18393-CPRNC	411	10.5	1.7	4.6	8.0	5.4	5.4	4.6	5	0	0	0	3	1	0	0	6	4	1	2	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene18895-RR2	463	9.5	4.3	8.6	6.7	6.0	8.0	5.2	3	0	0	0	8	8	0	0	9	2	1	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene25280-CPRNC	112	9.8	0.9	11.6	4.5	6.2	11.6	4.5	3	1	0	0	2	0	0	0	1	2	0	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene25969-RR2	108	6.5	3.7	6.5	2.8	7.4	6.5	4.6	1	0	0	0	0	1	0	0	0	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene362-CPLCG	113	8.8	8.0	22.1	11.5	5.3	14.2	0.9	1	0	0	0	2	0	4	3	8	6	2	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Cfe_Unigene4298-CPRNC	58	6.9	1.7	10.3	12.1	6.9	5.2	1.7	0	0	0	0	0	0	0	0	0	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene4338-RR2	131	18.3	13.0	5.3	3.1	7.6	5.3	5.3	5	1	1	2	4	5	0	0	0	0	3	5	strong_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene5159-RR2	228	4.4	7.9	7.5	3.9	4.8	8.3	7.9	1	0	0	1	0	1	1	0	2	1	3	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cfe_Unigene6620-RR1	191	11.5	2.1	14.1	7.9	6.3	2.6	1.0	3	0	0	0	2	1	2	0	4	1	0	0	no_CPG_feature_support	3	moderate_CPH_feature_support	
Cfe_Unigene9017-RR2	139	16.5	10.1	6.5	2.2	9.4	7.9	5.8	6	1	0	2	3	6	0	0	0	0	1	5	strong_CPG_feature_support	0	no_CPH_feature_support	
Cfe_Unigene9137-RR2	113	8.0	12.4	5.3	3.5	10.6	6.2	5.3	1	0	0	0	2	1	0	0	1	0	2	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Cfe_Unigene9414-CPRNC	214	7.0	0.9	6.5	12.1	12.1	4.2	5.1	0	0	0	0	4	1	0	0	5	3	0	1	weak_CPG_feature_support	4	moderate_CPH_feature_support	
Cfe_Unigene9627-RR2	172	9.9	5.2	22.1	8.7	8.1	11.0	4.7	1	0	0	0	4	4	4	2	12	1	0	1	weak_CPG_feature_support	6	strong_CPH_feature_support	
Cme_CPG1	325	36.3	3.7	5.5	4.6	7.7	6.2	4.6	36	13	7	21	23	8	0	0	3	3	1	6	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cme_CPR20	66	10.6	1.5	6.1	3.0	7.6	9.1	7.6	0	0	0	0	1	0	0	0	1	0	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cme_Tweedle1	521	22.6	1.2	7.9	4.0	4.4	7.3	3.3	23	4	0	10	8	0	1	0	5	3	0	5	strong_CPG_feature_support	2	weak_CPH_feature_support	
Cpi_CPLCG5	129	12.4	5.4	29.5	10.1	3.1	10.1	1.6	1	0	0	0	0	1	0	0	7	2	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Cpi_CPR47	171	15.2	8.2	5.3	1.8	7.6	7.0	7.0	5	0	0	2	3	1	0	0	0	0	2	4	moderate_CPG_feature_support	0	no_CPH_feature_support	
Cpi_CPR63	110	7.3	11.8	6.4	2.7	10.0	12.7	3.6	0	0	0	0	2	2	0	0	0	0	2	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Cpo_CPR100	136	10.3	4.4	10.3	8.1	2.9	13.2	2.9	2	0	0	0	1	0	0	0	5	3	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Cpo_CPR22	240	10.0	0.8	8.8	7.5	11.7	9.6	5.0	1	0	0	1	5	0	0	0	2	5	0	2	weak_CPG_feature_support	3	moderate_CPH_feature_support	
Cpo_CPR35	759	17.0	0.4	8.6	11.7	3.2	1.7	1.6	6	0	0	0	7	0	0	0	10	4	0	3	moderate_CPG_feature_support	3	moderate_CPH_feature_support	
Cpo_CPR67	149	16.8	17.4	8.7	4.7	4.0	6.0	1.3	4	1	0	0	0	12	1	0	1	1	6	2	weak_CPG_feature_support	0	no_CPH_feature_support	
Cpo_CPR78	446	5.4	3.8	4.0	8.5	6.5	4.7	10.3	0	0	0	0	3	2	0	0	0	2	1	1	weak_CPG_feature_support	2	weak_CPH_feature_support	
Cqu_Crus1	133	7.5	0.8	12.8	9.0	3.0	9.0	4.5	0	0	0	0	1	0	0	0	1	3	0	0	no_CPG_feature_support	5	strong_CPH_feature_support	
Cqu_Crus3	134	9.7	0.7	10.4	8.2	3.0	6.0	4.5	1	0	0	0	2	0	1	0	2	1	0	0	no_CPG_feature_support	2	weak_CPH_feature_support	
Dan_CPF1	173	4.6	9.8	14.5	10.4	6.4	12.1	1.7	0	0	0	0	1	1	0	0	11	3	1	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Dan_CPF2	284	2.8	1.8	24.3	12.7	7.4	14.4	4.9	0	0	0	0	1	1	12	11	32	12	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Dan_CPF3	198	4.0	1.5	24.2	13.1	8.6	15.7	5.1	1	0	0	0	1	0	9	9	22	12	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Dan_CPLCG1	136	7.4	3.7	27.2	11.8	0.7	20.6	0.7	1	0	0	0	0	2	3	2	11	3	0	0	no_CPG_feature_support	7	strong_CPH_feature_support	
Dan_CPLCG2	144	14.6	4.2	25.0	7.6	1.4	9.7	1.4	1	0	0	0	0	4	2	0	8	0	0	0	no_CPG_feature_support	4	moderate_CPH_feature_support	
Dan_CPLCG3	133	6.8	6.0	30.1	10.5	1.5	14.3	0.0	0	0	0	0	0	2	5	3	12	1	0	0	no_CPG_feature_support	6	strong_CPH_feature_support	
Dan_CPR_Uncharacterized_	138	8.7	1.4	8.0	5.1	2.9	7.2	6.5	0	0	0	0	1	0	0	0	0	0	0	0	no_CPG_feature_support	1	weak_CPH_feature_support	
Dan_CPR_Uncharacterized_1	358	8.1	1.4	8.7	16.5	5.9	6.4	2.8	2	0	0	1	5	0	1	0	12	5	1	2	weak_CPG_feature_support	4	moderate_CPH_feature_support	
