protein_id	length	proline_percent	valine_percent	tyrosine_percent	lysine_percent	histidine_percent	glycine_percent	acidic_polar_percent_full	acidic_polar_percent_Nterm80	histidine_percent_Cterm80	PV_count	PY_count	GLWD_or_GLWE_count	H_cluster_3_in_20_count	GYH_rich_short_count	CPLCP_feature_score	CPLCP_feature_class	weird_characters
Cfe_Unigene10568-RR1	168	9.5	7.7	6.5	2.4	1.8	7.1	33.9	30.0	1.2	2	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene10589-RR2	128	2.3	7.0	9.4	6.2	10.2	18.8	21.1	22.5	10.0	0	0	0	2	3	2	weak_CPLCP_feature_support	
Cfe_Unigene10612-RR2	134	3.0	5.2	6.7	6.7	13.4	18.7	20.9	23.8	15.0	0	0	0	5	1	2	weak_CPLCP_feature_support	
Cfe_Unigene10719-RR1	114	2.6	9.6	7.0	3.5	1.8	10.5	34.2	36.2	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene10721-CPFL	103	8.7	17.5	6.8	3.9	4.9	6.8	9.7	12.5	5.0	4	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene11343-RR1	106	4.7	7.5	4.7	2.8	0.9	10.4	37.7	37.5	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene11498-RR1	237	6.8	0.8	5.5	3.0	0.4	14.8	33.3	30.0	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene11532-RR1	129	1.6	7.0	5.4	6.2	0.8	10.9	33.3	40.0	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene11823-RR2	199	10.6	14.1	9.0	2.5	5.0	5.5	23.1	18.8	7.5	10	0	0	1	0	4	moderate_CPLCP_feature_support	
Cfe_Unigene11854-RR1	166	8.4	13.9	4.2	3.0	3.0	10.2	28.9	26.2	2.5	3	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene11944-RR1	202	7.9	1.5	5.0	1.5	1.5	29.7	26.7	10.0	2.5	1	0	0	0	5	0	no_CPLCP_feature_support	
Cfe_Unigene11999-RR1	131	7.6	8.4	3.8	1.5	0.8	5.3	37.4	40.0	0.0	2	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene12042-RR2	183	9.3	13.1	8.7	5.5	4.4	4.4	18.6	11.2	7.5	7	1	0	2	0	4	moderate_CPLCP_feature_support	
Cfe_Unigene12487-RR1	160	10.0	5.6	8.1	2.5	0.6	6.9	38.1	35.0	1.2	1	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene12686-RR1	137	9.5	6.6	2.9	2.9	1.5	7.3	35.8	41.2	2.5	2	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13007-RR1	147	8.8	2.0	4.8	2.7	2.0	12.2	34.0	40.0	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13195-RR2	133	1.5	8.3	6.8	4.5	11.3	9.8	32.3	30.0	13.8	0	0	0	3	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene13228-RR2	145	4.1	14.5	8.3	4.1	8.3	13.8	20.7	17.5	12.5	3	0	0	2	2	2	weak_CPLCP_feature_support	
Cfe_Unigene13301-RR1	174	6.3	4.6	5.7	6.3	3.4	6.3	40.2	33.8	5.0	3	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13309-RR1	139	9.4	5.0	3.6	4.3	1.4	8.6	36.7	38.8	2.5	0	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13345-RR1	220	12.7	3.2	7.3	4.1	2.3	10.9	31.4	31.2	0.0	1	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13377-RR2	191	2.1	4.7	4.7	7.3	12.0	23.0	22.5	17.5	13.8	1	0	0	6	3	2	weak_CPLCP_feature_support	
Cfe_Unigene13485-RR2	176	3.4	11.4	2.8	5.1	8.0	19.9	19.3	16.2	10.0	2	0	0	0	1	1	weak_CPLCP_feature_support	
Cfe_Unigene13547-RR1	197	5.6	4.1	5.6	1.5	0.5	8.1	44.2	43.8	1.2	1	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene13687-RR2	221	7.2	12.2	9.0	2.3	7.7	5.9	18.6	11.2	8.8	6	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13921-CPRNC	521	6.1	4.4	5.4	4.0	1.9	13.8	42.4	36.2	1.2	4	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene13963-CPFL	172	10.5	21.5	5.2	4.1	3.5	1.7	17.4	17.5	3.8	6	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene13989-RR1	242	9.1	2.5	4.5	3.3	0.4	32.2	25.2	12.5	1.2	0	0	0	0	3	1	weak_CPLCP_feature_support	
Cfe_Unigene14052-CPRNC	649	9.9	4.2	4.5	5.2	2.0	11.4	39.3	32.5	2.5	0	3	0	0	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene14114-RR1	151	9.9	3.3	4.6	2.0	1.3	8.6	32.5	35.0	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene14133-RR2	171	7.6	7.0	5.3	1.8	2.9	7.6	33.9	31.2	3.8	1	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene14141-CPRNC	333	14.4	5.1	6.6	3.9	1.2	7.5	34.5	37.5	1.2	4	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene14189-RR2	241	9.1	14.9	3.3	2.9	0.0	2.5	24.1	28.8	0.0	7	2	0	0	0	4	moderate_CPLCP_feature_support	
Cfe_Unigene14194-RR1	106	3.8	8.5	3.8	5.7	3.8	7.5	33.0	33.8	2.5	1	1	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene14282-RR2	239	10.9	8.8	4.2	2.5	0.8	5.0	27.2	26.2	0.0	2	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene14429-RR2	253	11.1	4.0	4.7	4.3	3.2	5.5	36.0	30.0	1.2	0	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene14620-RR2	357	9.0	7.0	6.2	4.8	1.1	3.6	40.9	32.5	0.0	5	0	0	0	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene14668-CPRNC	180	7.8	5.0	5.6	7.2	4.4	4.4	27.8	26.2	6.2	1	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene14806-CPLCP	393	15.0	19.6	7.1	12.2	5.3	12.2	17.0	22.5	11.2	27	22	0	2	4	5	strong_CPLCP_feature_support	
Cfe_Unigene15011-CPFL	106	6.6	8.5	10.4	2.8	6.6	16.0	13.2	15.0	7.5	1	0	0	0	2	1	weak_CPLCP_feature_support	
Cfe_Unigene15156-CPLCP	444	14.9	17.1	5.4	10.8	9.0	15.5	15.8	21.2	17.5	39	19	0	3	6	5	strong_CPLCP_feature_support	
Cfe_Unigene15232-RR1	140	11.4	2.1	2.9	5.0	1.4	7.1	39.3	40.0	2.5	0	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene15413-RR2	172	2.3	10.5	3.5	7.0	4.7	25.6	17.4	15.0	6.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene15448-CPRNC	111	9.0	6.3	7.2	2.7	0.0	10.8	32.4	30.0	0.0	0	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene15453-RR1	228	4.8	3.9	7.9	0.9	0.9	7.9	52.2	51.2	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene15571-RR2	360	33.6	3.3	8.1	2.8	1.1	7.8	26.7	20.0	1.2	0	4	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene15617-RR1	210	10.0	3.3	5.2	4.3	1.9	6.2	41.9	41.2	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene15710-RR2	176	13.6	19.3	2.8	2.8	0.6	6.2	17.6	28.8	0.0	7	1	0	0	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene15742-RR1	155	11.0	5.8	3.9	3.9	1.3	9.7	35.5	38.8	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene15996-RR2	172	10.5	12.8	9.3	8.7	5.2	9.9	19.2	17.5	6.2	4	1	0	0	1	2	weak_CPLCP_feature_support	
Cfe_Unigene16129-Tweedle	325	8.9	4.3	3.1	3.1	4.3	26.8	26.5	20.0	5.0	1	1	0	1	1	3	moderate_CPLCP_feature_support	
Cfe_Unigene16334-RR2	159	2.5	10.1	3.1	7.5	1.9	19.5	22.0	25.0	1.2	1	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene16424-RR2	429	8.9	8.9	5.4	7.2	4.2	4.7	34.5	36.2	11.2	5	3	0	1	0	6	strong_CPLCP_feature_support	
Cfe_Unigene1649-RR2	160	9.4	11.9	6.2	5.0	1.2	5.0	20.6	22.5	1.2	3	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene16757-RR1	223	6.7	4.9	6.7	6.3	3.1	7.6	37.7	35.0	1.2	2	1	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene16782-RR2	356	7.3	9.8	5.6	2.5	5.6	4.8	30.1	33.8	3.8	5	0	0	2	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene16827-RR2	173	2.3	7.5	9.2	4.0	11.6	23.7	20.2	8.8	13.8	0	1	0	3	4	2	weak_CPLCP_feature_support	
Cfe_Unigene16986-RR2	193	3.6	6.7	6.2	4.1	11.9	5.7	33.7	35.0	12.5	0	0	0	2	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene17163-CPRNC	739	9.3	7.8	4.5	4.2	1.2	3.0	42.2	36.2	0.0	10	3	0	0	0	4	moderate_CPLCP_feature_support	
Cfe_Unigene17315-CPCFC	199	14.1	7.5	9.0	0.5	3.5	7.0	26.6	22.5	6.2	6	0	0	0	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene17528-RR2	192	7.3	10.9	8.3	2.6	5.7	8.3	23.4	21.2	7.5	2	1	0	1	1	2	weak_CPLCP_feature_support	
Cfe_Unigene18018-RR2	234	4.7	3.0	12.8	2.6	2.6	11.1	44.9	38.8	1.2	0	0	0	1	0	2	weak_CPLCP_feature_support	
Cfe_Unigene18090-RR2	403	5.5	6.7	6.2	8.9	4.7	4.0	41.4	32.5	0.0	3	0	0	1	0	2	weak_CPLCP_feature_support	
Cfe_Unigene18240-RR2	623	5.3	6.1	3.2	9.3	4.3	2.7	38.7	41.2	7.5	2	0	0	1	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene18393-CPRNC	411	8.0	5.4	5.4	4.6	1.7	10.5	40.1	33.8	2.5	3	1	0	1	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene18895-RR2	463	6.7	8.0	6.0	5.2	4.3	9.5	34.1	31.2	1.2	2	0	0	1	0	2	weak_CPLCP_feature_support	
Cfe_Unigene25280-CPRNC	112	4.5	11.6	6.2	4.5	0.9	9.8	30.4	32.5	1.2	2	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene25969-RR2	108	2.8	6.5	7.4	4.6	3.7	6.5	33.3	37.5	5.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene362-CPLCG	113	11.5	14.2	5.3	0.9	8.0	8.8	15.0	12.5	11.2	5	1	0	2	0	4	moderate_CPLCP_feature_support	
Cfe_Unigene4298-CPRNC	58	12.1	5.2	6.9	1.7	1.7	6.9	29.3	29.3	1.7	0	0	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene4338-RR2	131	3.1	5.3	7.6	5.3	13.0	18.3	26.7	28.8	13.8	0	0	0	3	1	3	moderate_CPLCP_feature_support	
Cfe_Unigene5159-RR2	228	3.9	8.3	4.8	7.9	7.9	4.4	38.6	31.2	10.0	1	0	0	3	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene6620-RR1	191	7.9	2.6	6.3	1.0	2.1	11.5	35.1	38.8	3.8	1	0	0	0	0	1	weak_CPLCP_feature_support	
Cfe_Unigene9017-RR2	139	2.2	7.9	9.4	5.8	10.1	16.5	25.9	20.0	11.2	0	0	0	1	1	2	weak_CPLCP_feature_support	
Cfe_Unigene9137-RR2	113	3.5	6.2	10.6	5.3	12.4	8.0	26.5	30.0	11.2	0	0	0	2	0	3	moderate_CPLCP_feature_support	
Cfe_Unigene9414-CPRNC	214	12.1	4.2	12.1	5.1	0.9	7.0	33.6	31.2	1.2	2	1	0	0	0	2	weak_CPLCP_feature_support	
Cfe_Unigene9627-RR2	172	8.7	11.0	8.1	4.7	5.2	9.9	18.0	13.8	6.2	0	1	0	0	0	2	weak_CPLCP_feature_support	
Cme_CPG1	325	4.6	6.2	7.7	4.6	3.7	36.3	20.0	25.0	2.5	3	0	0	1	7	2	weak_CPLCP_feature_support	
Cme_CPR20	66	3.0	9.1	7.6	7.6	1.5	10.6	37.9	37.9	1.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Cme_Tweedle1	521	4.0	7.3	4.4	3.3	1.2	22.6	36.3	35.0	1.2	3	0	0	0	0	1	weak_CPLCP_feature_support	
Cpi_CPLCG5	129	10.1	10.1	3.1	1.6	5.4	12.4	13.2	8.8	7.5	0	2	0	0	0	3	moderate_CPLCP_feature_support	
Cpi_CPR47	171	1.8	7.0	7.6	7.0	8.2	15.2	31.0	26.2	12.5	0	0	0	2	0	3	moderate_CPLCP_feature_support	
Cpi_CPR63	110	2.7	12.7	10.0	3.6	11.8	7.3	32.7	31.2	13.8	0	0	0	2	0	3	moderate_CPLCP_feature_support	
Cpo_CPR100	136	8.1	13.2	2.9	2.9	4.4	10.3	28.7	33.8	3.8	3	0	0	0	0	2	weak_CPLCP_feature_support	
Cpo_CPR22	240	7.5	9.6	11.7	5.0	0.8	10.0	27.9	27.5	2.5	3	2	0	0	0	2	weak_CPLCP_feature_support	
Cpo_CPR35	759	11.7	1.7	3.2	1.6	0.4	17.0	41.8	37.5	0.0	4	0	0	0	0	2	weak_CPLCP_feature_support	
Cpo_CPR67	149	4.7	6.0	4.0	1.3	17.4	16.8	22.1	13.8	17.5	1	0	0	6	1	2	weak_CPLCP_feature_support	
Cpo_CPR78	446	8.5	4.7	6.5	10.3	3.8	5.4	37.0	32.5	2.5	2	0	0	1	0	3	moderate_CPLCP_feature_support	
Cqu_Crus1	133	9.0	9.0	3.0	4.5	0.8	7.5	31.6	36.2	1.2	3	0	0	0	0	2	weak_CPLCP_feature_support	
Cqu_Crus3	134	8.2	6.0	3.0	4.5	0.7	9.7	35.1	36.2	1.2	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPF1	173	10.4	12.1	6.4	1.7	9.8	4.6	29.5	33.8	13.8	3	0	0	1	0	4	moderate_CPLCP_feature_support	
Dan_CPF2	284	12.7	14.4	7.4	4.9	1.8	2.8	22.9	37.5	5.0	11	1	0	0	0	4	moderate_CPLCP_feature_support	
Dan_CPF3	198	13.1	15.7	8.6	5.1	1.5	4.0	19.7	35.0	2.5	11	1	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPLCG1	136	11.8	20.6	0.7	0.7	3.7	7.4	14.0	11.2	5.0	3	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPLCG2	144	7.6	9.7	1.4	1.4	4.2	14.6	16.7	17.5	6.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPLCG3	133	10.5	14.3	1.5	0.0	6.0	6.8	15.8	13.8	7.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_	138	5.1	7.2	2.9	6.5	1.4	8.7	31.9	28.8	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_1	358	16.5	6.4	5.9	2.8	1.4	8.1	32.7	33.8	1.2	4	1	0	1	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_10	167	7.2	5.4	7.2	4.8	0.6	15.0	37.7	38.8	0.0	1	1	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_100	223	8.5	8.1	7.6	3.1	12.6	3.6	28.3	28.8	16.2	1	0	0	6	0	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_101	221	9.0	14.9	7.7	5.0	4.1	2.7	19.5	16.2	7.5	6	0	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_102	217	11.1	13.4	3.7	3.7	0.9	3.2	20.7	27.5	0.0	6	0	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_103	153	9.2	17.0	5.9	4.6	5.9	3.9	22.9	20.0	6.2	8	0	0	1	0	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_104	202	10.9	11.4	5.9	2.5	0.5	4.0	17.3	31.2	0.0	5	0	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_105	186	7.5	13.4	3.2	3.8	7.0	3.8	29.0	40.0	15.0	3	0	0	3	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_107	399	6.3	7.5	6.3	2.5	14.0	11.8	21.8	33.8	16.2	8	1	0	11	1	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_108	243	21.8	7.0	7.8	3.3	7.0	7.8	13.6	13.8	10.0	8	3	0	1	0	5	strong_CPLCP_feature_support	
Dan_CPR_Uncharacterized_11	149	9.4	9.4	6.7	8.1	2.0	5.4	28.2	32.5	2.5	2	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_12	456	2.6	2.4	1.3	1.1	0.2	2.2	50.4	48.8	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_13	141	7.8	13.5	5.0	5.0	4.3	4.3	24.8	21.2	2.5	4	0	0	0	0	0	no_CPLCP_feature_support	
Dan_CPR_Uncharacterized_14	195	6.7	6.2	6.7	0.5	5.1	15.9	30.3	30.0	5.0	1	0	0	2	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_15	170	8.2	6.5	7.1	2.9	0.0	7.1	36.5	35.0	0.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_16	135	9.6	5.2	6.7	2.2	1.5	8.9	29.6	32.5	1.2	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_17	207	4.3	12.6	2.4	8.2	1.0	7.2	34.8	37.5	0.0	2	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_18	130	6.9	6.9	4.6	7.7	1.5	6.9	33.8	35.0	2.5	1	1	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_19	110	3.6	7.3	6.4	6.4	0.9	8.2	33.6	30.0	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_2	234	13.7	3.8	11.5	5.1	2.6	6.8	34.6	32.5	2.5	2	2	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_20	371	10.5	2.4	5.7	1.6	1.1	8.4	43.1	31.2	1.2	1	4	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_21	436	6.0	14.4	1.6	1.4	0.0	13.8	32.3	13.8	0.0	0	0	0	0	2	0	no_CPLCP_feature_support	
Dan_CPR_Uncharacterized_22	118	7.6	7.6	3.4	4.2	0.8	5.9	32.2	35.0	1.2	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_23	112	7.1	10.7	2.7	5.4	2.7	6.2	33.0	35.0	3.8	1	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_24	112	8.0	11.6	2.7	5.4	1.8	6.2	32.1	32.5	2.5	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_25	128	9.4	7.8	2.3	1.6	6.2	8.6	28.9	32.5	7.5	0	0	0	1	0	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_26	130	10.0	6.9	2.3	1.5	6.2	7.7	31.5	35.0	7.5	1	0	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_27	188	5.3	10.1	3.2	3.7	8.0	4.8	31.4	27.5	10.0	0	1	0	2	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_28	211	9.5	3.3	8.5	2.4	0.9	17.1	35.5	36.2	1.2	1	0	0	0	1	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_29	137	12.4	4.4	5.1	2.2	0.7	10.9	33.6	37.5	1.2	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_3	233	15.5	1.7	8.6	2.6	2.1	6.9	39.1	38.8	2.5	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_31	265	8.7	5.3	6.8	3.4	1.5	19.2	28.7	30.0	1.2	0	1	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_32	201	4.5	1.5	4.0	9.5	7.0	7.0	38.3	46.2	8.8	0	0	0	1	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_33	167	4.8	7.2	11.4	3.6	1.8	8.4	29.9	25.0	2.5	2	3	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_34	121	11.6	2.5	5.0	5.0	0.8	5.8	38.0	42.5	1.2	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_35	153	5.2	9.2	7.2	6.5	3.9	6.5	32.7	32.5	5.0	0	1	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_36	133	5.3	9.0	5.3	3.8	1.5	6.0	39.1	37.5	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_37	195	5.6	4.1	4.1	5.1	7.2	6.2	40.0	40.0	1.2	0	0	0	2	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_39	142	10.6	5.6	5.6	5.6	7.7	8.5	28.2	28.8	10.0	2	0	0	1	0	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_4	175	6.9	8.6	8.6	1.7	3.4	6.9	37.7	42.5	5.0	1	1	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_40	92	2.2	14.1	6.5	7.6	3.3	4.3	30.4	30.0	3.8	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_41	414	7.5	7.0	4.1	1.7	0.7	21.7	34.5	31.2	0.0	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_42	124	1.6	5.6	6.5	8.1	1.6	8.9	42.7	45.0	2.5	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_43	619	10.8	6.8	4.2	7.8	3.2	3.9	33.8	40.0	3.8	3	2	0	0	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_44	125	16.0	6.4	7.2	3.2	3.2	16.0	27.2	30.0	2.5	0	1	0	0	1	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_45	188	5.9	11.7	6.9	2.7	12.8	9.6	18.6	18.8	17.5	0	1	0	4	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_46	187	7.0	12.3	8.0	4.8	4.8	5.3	26.7	31.2	5.0	0	1	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_48	131	4.6	7.6	3.1	0.8	8.4	6.9	29.8	35.0	10.0	1	0	0	1	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_49	127	8.7	3.9	5.5	1.6	2.4	6.3	34.6	33.8	3.8	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_5	273	6.6	8.1	5.1	2.9	1.1	5.5	40.3	42.5	0.0	1	2	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_50	181	7.7	4.4	5.5	2.8	5.0	11.6	34.3	41.2	8.8	0	1	0	1	1	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_51	129	7.0	3.9	7.8	3.1	3.1	9.3	30.2	32.5	5.0	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_52	133	6.0	12.0	5.3	4.5	3.8	6.8	36.8	38.8	2.5	1	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_53	326	9.5	4.9	6.4	10.4	6.7	5.2	33.4	36.2	8.8	1	2	0	2	0	5	strong_CPLCP_feature_support	
Dan_CPR_Uncharacterized_55	271	6.6	7.7	5.9	5.5	5.5	12.2	26.9	21.2	5.0	1	0	0	1	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_56	247	7.7	13.4	6.9	3.2	6.9	6.1	32.4	33.8	8.8	7	1	0	3	0	4	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_57	218	7.8	6.9	6.0	4.6	4.1	6.9	30.7	32.5	1.2	2	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_58	437	1.8	2.3	3.2	1.8	0.5	3.4	49.2	36.2	0.0	3	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_59	112	8.0	7.1	7.1	8.0	2.7	7.1	40.2	40.0	3.8	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_6	206	0.5	4.9	3.9	4.4	28.6	15.5	27.7	27.5	35.0	0	0	0	11	4	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_60	115	7.0	7.0	6.1	0.9	3.5	9.6	32.2	32.5	2.5	2	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_61	135	6.7	7.4	3.7	3.0	2.2	9.6	28.1	28.8	3.8	0	0	0	0	0	1	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_62	129	10.1	4.7	5.4	1.6	3.9	8.5	34.1	35.0	3.8	2	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_63	107	9.3	5.6	5.6	0.0	2.8	7.5	40.2	46.2	2.5	0	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_64	134	8.2	11.9	6.0	5.2	10.4	5.2	18.7	17.5	11.2	4	0	0	2	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_65	153	5.2	7.2	9.2	3.9	16.3	6.5	32.7	30.0	12.5	2	0	0	4	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_67	476	5.7	5.0	3.2	2.3	2.3	20.6	33.8	35.0	5.0	1	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_68	204	13.7	11.8	5.9	4.4	2.9	6.4	18.1	16.2	5.0	3	1	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_69	119	9.2	13.4	3.4	2.5	0.8	6.7	25.2	28.8	1.2	3	0	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_7	102	4.9	7.8	6.9	1.0	5.9	8.8	28.4	27.5	7.5	0	0	0	1	0	3	moderate_CPLCP_feature_support	
Dan_CPR_Uncharacterized_70	198	9.6	10.1	5.6	5.6	2.5	6.1	22.2	16.2	2.5	1	2	0	0	0	2	weak_CPLCP_feature_support	
Dan_CPR_Uncharacterized_71	242	15.3	11.6	5.0	2.9	0.0	4.5	16.1	7.5	0.0	14	2	0	0	0	3	moderate_CPLCP_feature_support	
